pl_name,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,sy_dist
TOI-1422 b,3.96,867.0,,5840.0,1.019,155.141
TOI-1269 b,2.40144286,1004.9,,5499.0,0.8521,172.138
HATS-12 b,7.76,1446.0,,6357.0,1.17,746.138
VHS J125601.92-125723.9 b,13.67495645,1194.0,,,,
TOI-2193 A b,19.83989584,1763.0,1600.0,5966.0,1.248,337.064
TOI-1749 d,2.52,533.0,,3985.0,0.55,99.5561
HAT-P-46 b,14.392,1458.0,,6120.0,1.396,290.736
TIC 393818343 b,12.18416202,805.5,2.28,5756.0,1.086,93.7345
WASP-161 b,12.811887,1557.0,990.0,6400.0,1.712,343.08
HATS-27 b,16.8135,1659.0,,6438.0,1.74,816.988
K2-238 b,14.5717,1587.0,,5630.0,1.59,537.963
HIP 41378 f,9.2,294.0,1.24,6320.0,1.273,106.289
WASP-4 b,15.12091496,1653.0,,,0.912,267.206
TOI-4914 b,12.87,894.0,,5805.0,1.0,299.89
TOI-500 b,1.166,1617.0,1138.0,4440.0,0.678,47.3924
TOI-2529 b,11.54525012,636.0,,5802.0,1.7,296.271
TOI-558 b,12.17295304,1061.0,,6466.0,1.496,402.63
Kepler-101 c,1.25,1413.0,,5667.0,1.56,927.981
TIC 46432937 b,13.31626907,872.0,,3572.0,0.5299,90.5369
HAT-P-4 b,14.28,1686.0,,5860.0,1.596,320.451
Kepler-1993 b,4.15,903.0,157.45,5159.0,3.062,1031.91
TOI-157 b,14.414774,1588.0,1062.0,5404.0,1.167,355.683
K2-115 b,11.80305668,696.0,,5870.0,0.855,413.591
WASP-18 b,13.89913607,2429.0,5805.0,6432.0,1.319,123.483
WASP-120 b,16.510857,1880.0,,6450.0,1.87,381.174
NGTS-11 b,9.157753,435.0,,5050.0,0.832,190.422
TOI-2081 b,2.04,488.0,8.1,3800.0,0.534,62.3446
L 98-59 d,1.627,416.0,4.97,3415.0,0.3155,10.6194
K2-331 b,1.79,909.0,,5994.0,1.06,211.43
TOI-3819 b,13.13692538,1633.0,1186.0,5859.0,1.538,558.141
K2-338 b,1.03,783.0,,4558.0,0.63,156.951
TOI-3856 b,13.59649359,1544.0,949.0,5622.0,1.055,314.443
K2-233 d,2.363,525.0,12.7,4796.0,0.71,67.5062
K2-126 b,1.97,601.0,,4339.0,0.65,102.953
WASP-190 b,12.89035,1500.0,,6400.0,1.6,542.251
HATS-56 b,18.920792,1902.0,,6536.0,2.201,564.409
K2-182 b,2.71257333,965.8,,5128.0,0.789,154.83
TOI-6478 b,4.6,204.4,,3230.0,0.234,38.6057
TOI-2373 b,10.42435205,860.0,,5651.0,1.102,508.686
TOI-782 b,2.734,435.0,5.91,3370.0,0.413,52.5122
TOI-4214 b,10.68215861,1642.0,1210.0,6370.0,1.434,346.881
TOI-2876 b,9.6397234,929.0,124.2,5271.0,0.873,225.744
WASP-113 b,15.793481,1496.0,,5890.0,1.608,435.156
HATS-18 b,14.896761,2069.48,,5600.0,1.02,624.368
WASP-176 b,16.869545,1721.0,,5941.0,1.925,568.42
K2-36 c,3.2,854.0,89.0,4916.0,0.718,109.749
TOI-4010 b,3.02,1441.0,714.0,4960.0,0.83,177.504
Qatar-2 b,14.056,1344.0,,4645.0,0.776,181.374
HAT-P-38 b,9.247,1082.0,,5330.0,0.923,255.206
Kepler-1654 b,9.180171,206.0,0.3,5597.0,1.179,568.117
HD 88986 b,2.49,460.0,,5861.0,1.543,33.2673
KELT-19 A b,21.40919,1935.0,2340.0,7500.0,1.83,300.276
HR 858 b,2.004,1552.0,,6354.0,1.258,31.964
Kepler-1988 b,1.53,1105.0,351.79,6033.0,1.788,513.426
TOI-2154 b,16.28664896,1580.0,,6280.0,1.396,296.46
TOI-1130 b,3.66,825.0,,4360.0,0.697,58.2609
TOI-4479 b,2.82,861.0,92.5,3400.0,0.451,80.6532
TOI-1203 d,2.918,743.6,51.0,5737.0,1.179,64.9943
WASP-158 b,11.99363,1590.0,,6350.0,1.39,524.993
WASP-194 b,15.47960235,1693.0,1365.0,6405.0,1.409,476.831
K2-269 b,1.57,1429.0,,6209.0,1.45,360.76
KELT-21 b,17.777474,2051.0,2950.0,7598.0,1.638,470.878
TOI-1439 b,4.2427861,748.4,,5841.0,1.6184,230.306
TOI-6628 b,10.98480109,833.0,,5463.0,1.01,320.527
WASP-130 b,9.97601,833.0,,5625.0,0.96,172.256
K2-122 b,1.16,769.0,,4009.0,0.59,72.0444
K2-133 e,1.73,296.0,1.8,3655.0,0.455,75.1703
KOI-1831 d,1.13,475.0,,5233.0,0.835,501.574
TOI-2076 d,3.43087751,457.68,,5192.0,0.796,41.9091
HAT-P-61 b,10.07687365,1505.0,849.5,5587.0,0.938,338.84
K2-266 e,2.73,490.1,9.581,4285.0,0.703,77.5586
TOI-1346 c,2.23,928.0,,5099.0,0.78,115.45
WASP-192 b,13.78707,1620.0,,5910.0,1.32,508.885
GJ 1132 b,1.19151465,583.8,19.3,3229.0,0.2211,12.613
K2-113 b,12.14,1098.0,,5660.0,1.24,635.722
TOI-2095 b,1.25,347.0,3.43,3759.0,0.44,41.9176
TOI-3474 b,14.67255574,1451.0,740.0,6020.0,1.256,420.123
K2-159 b,2.26,684.0,,5425.0,0.83,170.998
WASP-162 b,11.209,910.0,,5300.0,1.11,310.841
HATS-6 b,11.186582,712.8,,3724.0,0.57,169.318
Kepler-411 d,3.319,410.0,,,0.82,153.676
HATS-75 b,9.90873894,772.3,59.26,3790.4,0.5848,194.964
